order_id,product_id,quantity,unit_price,line_total
19604,8,3,6.44,19.32
19604,13,5,6.36,31.80
19604,32,5,7.95,39.75
19604,35,4,5.97,23.88
28418,2,2,9.75,19.50
28418,35,4,5.97,23.88
30344,12,5,9.99,49.95
30344,15,3,1.78,5.34
30344,20,1,4.92,4.92
30344,33,1,8.73,8.73
37912,12,1,9.99,9.99
37912,18,4,7.50,30.00
37912,24,2,4.81,9.62
37912,27,2,6.64,13.28
37912,36,2,3.77,7.54
42846,15,3,1.78,5.34
42846,18,4,7.50,30.00
42846,23,3,2.76,8.28
42846,25,2,1.89,3.78
42846,27,3,6.64,19.92
52625,4,4,2.16,8.64
52625,5,4,1.71,6.84
52625,9,5,2.96,14.80
54574,9,3,2.96,8.88
54574,11,5,0.63,3.15
54574,34,5,2.40,12.00
70237,8,4,6.44,25.76
70237,19,4,8.44,33.76
70237,30,5,4.93,24.65
78755,14,5,3.05,15.25
86335,1,1,3.91,3.91
95862,34,5,2.40,12.00
100834,3,5,8.99,44.95
100834,8,2,6.44,12.88
100834,9,5,2.96,14.80
100834,14,5,3.05,15.25
100834,23,2,2.76,5.52
103046,4,2,2.16,4.32
103731,6,4,7.51,30.04
103731,10,2,2.22,4.44
103731,21,2,7.25,14.50
103731,33,3,8.73,26.19
107866,1,3,3.91,11.73
107866,10,5,2.22,11.10
107866,16,4,9.41,37.64
107866,26,4,6.12,24.48
107866,27,2,6.64,13.28
124553,13,3,6.36,19.08
124553,21,2,7.25,14.50
124553,33,1,8.73,8.73
126767,9,3,2.96,8.88
126767,22,4,1.67,6.68
126767,24,4,4.81,19.24
126767,25,3,1.89,5.67
126767,30,4,4.93,19.72
145567,6,1,7.51,7.51
145567,17,3,6.47,19.41
171588,12,3,9.99,29.97
171588,26,4,6.12,24.48
174123,6,3,7.51,22.53
174123,11,5,0.63,3.15
174123,21,5,7.25,36.25
174123,28,5,1.72,8.60
174123,35,2,5.97,11.94
184205,12,2,9.99,19.98
184205,22,1,1.67,1.67
184205,23,5,2.76,13.80
184205,34,1,2.40,2.40
184205,35,4,5.97,23.88
185644,12,3,9.99,29.97
185644,16,1,9.41,9.41
185644,21,1,7.25,7.25
185644,25,3,1.89,5.67
185644,35,4,5.97,23.88
190487,31,5,4.12,20.60
199306,5,4,1.71,6.84
199306,7,2,9.80,19.60
199306,25,2,1.89,3.78
199306,30,5,4.93,24.65
205509,3,5,8.99,44.95
205509,5,5,1.71,8.55
205509,18,2,7.50,15.00
205509,20,5,4.92,24.60
205509,29,1,4.54,4.54
213561,28,4,1.72,6.88
220894,1,2,3.91,7.82
220894,8,5,6.44,32.20
221032,1,4,3.91,15.64
221032,3,3,8.99,26.97
221032,4,2,2.16,4.32
221032,7,5,9.80,49.00
221032,9,2,2.96,5.92
227825,1,3,3.91,11.73
227825,2,5,9.75,48.75
227825,8,3,6.44,19.32
227825,28,5,1.72,8.60
227825,32,1,7.95,7.95
228460,19,3,8.44,25.32
228460,24,2,4.81,9.62
231429,11,5,0.63,3.15
231429,14,2,3.05,6.10
231523,12,5,9.99,49.95
231523,15,4,1.78,7.12
231523,18,5,7.50,37.50
231523,20,5,4.92,24.60
243131,4,5,2.16,10.80
243131,20,2,4.92,9.84
251202,26,3,6.12,18.36
253125,20,4,4.92,19.68
253125,24,4,4.81,19.24
253125,28,4,1.72,6.88
253125,35,3,5.97,17.91
272845,2,3,9.75,29.25
272845,3,2,8.99,17.98
272845,26,4,6.12,24.48
278185,1,4,3.91,15.64
278185,7,5,9.80,49.00
278185,12,2,9.99,19.98
278185,19,1,8.44,8.44
297343,24,5,4.81,24.05
297343,30,1,4.93,4.93
297343,36,5,3.77,18.85
300866,20,3,4.92,14.76
300866,26,3,6.12,18.36
300866,29,1,4.54,4.54
300866,36,3,3.77,11.31
302845,9,5,2.96,14.80
302845,15,5,1.78,8.90
302845,28,5,1.72,8.60
302845,29,4,4.54,18.16
315319,8,5,6.44,32.20
315319,23,2,2.76,5.52
315319,29,4,4.54,18.16
318610,2,1,9.75,9.75
318610,23,1,2.76,2.76
318610,26,5,6.12,30.60
318610,27,5,6.64,33.20
318610,36,4,3.77,15.08
330590,14,5,3.05,15.25
333768,16,4,9.41,37.64
333768,20,3,4.92,14.76
333768,22,1,1.67,1.67
333768,26,2,6.12,12.24
334764,6,3,7.51,22.53
334764,16,4,9.41,37.64
334764,21,3,7.25,21.75
345595,13,4,6.36,25.44
345595,17,3,6.47,19.41
345595,24,4,4.81,19.24
345595,29,1,4.54,4.54
360068,5,1,1.71,1.71
360068,14,4,3.05,12.20
360068,29,5,4.54,22.70
367092,10,1,2.22,2.22
367092,17,4,6.47,25.88
367092,28,4,1.72,6.88
374906,14,3,3.05,9.15
374906,30,3,4.93,14.79
374906,31,1,4.12,4.12
381807,5,5,1.71,8.55
381807,25,3,1.89,5.67
381807,28,5,1.72,8.60
381807,34,1,2.40,2.40
388728,10,2,2.22,4.44
388728,30,3,4.93,14.79
388728,35,4,5.97,23.88
403852,3,4,8.99,35.96
403852,19,4,8.44,33.76
403852,30,1,4.93,4.93
421099,30,2,4.93,9.86
445377,13,4,6.36,25.44
487845,1,1,3.91,3.91
487845,20,2,4.92,9.84
487845,23,3,2.76,8.28
490545,14,3,3.05,9.15
490545,25,4,1.89,7.56
490545,29,2,4.54,9.08
490618,7,4,9.80,39.20
490618,16,2,9.41,18.82
490618,18,4,7.50,30.00
490618,28,5,1.72,8.60
525783,9,1,2.96,2.96
525783,13,3,6.36,19.08
526881,24,4,4.81,19.24
526881,31,2,4.12,8.24
526881,32,4,7.95,31.80
531553,1,3,3.91,11.73
531553,3,3,8.99,26.97
548533,3,1,8.99,8.99
548533,7,5,9.80,49.00
548627,14,1,3.05,3.05
574826,3,2,8.99,17.98
574826,27,4,6.64,26.56
577877,18,2,7.50,15.00
589895,17,4,6.47,25.88
589895,20,1,4.92,4.92
589895,30,1,4.93,4.93
595426,12,2,9.99,19.98
595426,35,2,5.97,11.94
602553,4,4,2.16,8.64
602553,5,5,1.71,8.55
602553,12,1,9.99,9.99
602553,33,3,8.73,26.19
630300,19,5,8.44,42.20
630300,22,2,1.67,3.34
630300,35,2,5.97,11.94
636070,4,4,2.16,8.64
636070,9,5,2.96,14.80
636070,33,3,8.73,26.19
653116,29,1,4.54,4.54
661607,12,3,9.99,29.97
661607,22,1,1.67,1.67
661607,24,1,4.81,4.81
662292,28,1,1.72,1.72
662292,31,5,4.12,20.60
663955,11,2,0.63,1.26
663955,27,3,6.64,19.92
664256,15,5,1.78,8.90
664256,24,1,4.81,4.81
664256,32,1,7.95,7.95
698258,10,1,2.22,2.22
698258,23,4,2.76,11.04
710136,1,1,3.91,3.91
710136,19,5,8.44,42.20
710136,29,4,4.54,18.16
726226,10,3,2.22,6.66
729031,23,3,2.76,8.28
729637,2,2,9.75,19.50
729637,34,3,2.40,7.20
739277,14,2,3.05,6.10
739277,18,1,7.50,7.50
739277,19,5,8.44,42.20
739277,33,2,8.73,17.46
783632,21,2,7.25,14.50
783632,25,4,1.89,7.56
783632,27,4,6.64,26.56
783632,35,5,5.97,29.85
799150,5,1,1.71,1.71
799150,9,5,2.96,14.80
799150,22,3,1.67,5.01
823098,28,2,1.72,3.44
823098,35,5,5.97,29.85
854962,6,1,7.51,7.51
854962,33,1,8.73,8.73
859180,20,3,4.92,14.76
859180,29,2,4.54,9.08
859180,32,2,7.95,15.90
884146,20,5,4.92,24.60
884146,31,4,4.12,16.48
884146,34,4,2.40,9.60
888842,2,4,9.75,39.00
888842,15,3,1.78,5.34
892864,8,1,6.44,6.44
905629,1,2,3.91,7.82
905629,3,3,8.99,26.97
905629,8,4,6.44,25.76
905629,12,4,9.99,39.96
905629,33,2,8.73,17.46
910662,6,3,7.51,22.53
910662,21,2,7.25,14.50
910662,36,1,3.77,3.77
910887,4,1,2.16,2.16
910887,18,3,7.50,22.50
910887,20,3,4.92,14.76
911629,3,2,8.99,17.98
911629,4,2,2.16,4.32
911629,16,5,9.41,47.05
911629,33,4,8.73,34.92
913680,4,2,2.16,4.32
913680,10,5,2.22,11.10
913680,24,3,4.81,14.43
913680,27,2,6.64,13.28
913680,28,5,1.72,8.60
922118,10,4,2.22,8.88
922118,16,5,9.41,47.05
922118,23,5,2.76,13.80
922118,31,3,4.12,12.36
924772,11,1,0.63,0.63
924772,33,2,8.73,17.46
939065,19,4,8.44,33.76
959347,22,3,1.67,5.01
959425,4,4,2.16,8.64
959425,11,2,0.63,1.26
959425,25,4,1.89,7.56
959425,28,2,1.72,3.44
994081,17,5,6.47,32.35
994081,21,4,7.25,29.00
994081,36,5,3.77,18.85
997369,29,1,4.54,4.54
1000026,22,2,1.67,3.34
1000026,28,5,1.72,8.60
1000026,33,2,8.73,17.46
1000026,35,3,5.97,17.91
1025262,9,1,2.96,2.96
1025262,10,2,2.22,4.44
1025262,26,4,6.12,24.48
1025262,31,3,4.12,12.36
1025262,32,4,7.95,31.80
1031393,5,1,1.71,1.71
1040190,1,4,3.91,15.64
1040190,13,5,6.36,31.80
1040190,14,3,3.05,9.15
1040190,17,1,6.47,6.47
1040190,36,5,3.77,18.85
1040726,17,2,6.47,12.94
1040726,30,2,4.93,9.86
1040726,33,1,8.73,8.73
1040726,36,4,3.77,15.08
1055730,13,2,6.36,12.72
1055730,16,5,9.41,47.05
1055730,19,5,8.44,42.20
1067873,1,1,3.91,3.91
1067873,9,1,2.96,2.96
1067873,18,3,7.50,22.50
