order_id,order_datetime,customer_id,total_amount,num_items
19604,2024-02-07T11:03:07.577205,4,114.75,4
28418,2024-02-02T07:31:36.213793,13,43.38,2
30344,2024-02-01T20:46:49.857138,24,68.94,4
37912,2024-02-01T06:30:48.531505,12,70.43,5
42846,2024-02-03T14:07:05.667861,22,67.32,5
52625,2024-02-03T10:40:23.221036,24,30.28,3
54574,2024-02-03T15:48:07.228482,12,24.03,3
70237,2024-02-01T11:11:12.442811,18,84.17,3
78755,2024-02-01T18:03:55.616753,6,15.25,1
86335,2024-02-04T18:55:08.223390,8,3.91,1
95862,2024-02-02T13:37:37.324778,7,12.0,1
100834,2024-02-03T17:21:13.088701,25,93.4,5
103046,2024-02-04T22:01:15.716747,9,4.32,1
103731,2024-02-04T02:25:36.067707,8,75.17,4
107866,2024-02-09T19:49:02.723503,13,98.23,5
124553,2024-02-08T19:39:27.617136,29,42.31,3
126767,2024-02-08T16:14:45.858980,13,60.19,5
145567,2024-02-10T23:52:18.204356,16,26.92,2
171588,2024-02-02T07:02:19.823366,12,54.45,2
174123,2024-02-09T08:23:07.342071,17,82.47,5
184205,2024-02-05T21:50:22.580419,22,61.73,5
185644,2024-02-02T00:14:22.414278,3,76.18,5
190487,2024-02-02T11:25:51.472658,22,20.6,1
199306,2024-02-01T07:24:34.260811,1,54.87,4
205509,2024-02-02T22:29:04.943662,2,97.64,5
213561,2024-02-08T05:13:34.013697,8,6.88,1
220894,2024-02-06T14:19:32.900501,27,40.02,2
221032,2024-02-02T11:20:17.489557,8,101.85,5
227825,2024-02-04T17:16:43.750576,7,96.35,5
228460,2024-02-03T00:23:08.261260,9,34.94,2
231429,2024-02-08T05:09:42.857971,18,9.25,2
231523,2024-02-01T16:47:56.067898,25,119.17,4
243131,2024-02-01T09:41:27.592378,4,20.64,2
251202,2024-02-09T11:14:19.907788,4,18.36,1
253125,2024-02-09T22:18:02.253595,24,63.71,4
272845,2024-02-01T05:00:17.025860,6,71.71,3
278185,2024-02-01T17:43:32.633028,27,93.06,4
297343,2024-02-08T05:07:01.560857,24,47.83,3
300866,2024-02-03T02:54:17.422861,15,48.97,4
302845,2024-02-04T05:36:52.589412,13,50.46,4
315319,2024-02-10T11:25:30.023955,15,55.88,3
318610,2024-02-01T01:47:18.021924,1,91.39,5
330590,2024-02-06T22:48:55.101241,12,15.25,1
333768,2024-02-01T07:57:24.188196,9,66.31,4
334764,2024-02-02T17:49:28.711886,22,81.92,3
345595,2024-02-04T07:10:05.730802,7,68.63,4
360068,2024-02-04T03:14:03.947977,21,36.61,3
367092,2024-02-08T21:23:31.279738,1,34.98,3
374906,2024-02-09T03:39:41.659493,25,28.06,3
381807,2024-02-05T05:05:03.158857,28,25.22,4
388728,2024-02-08T19:31:03.893612,18,43.11,3
403852,2024-02-04T12:28:21.434535,8,74.65,3
421099,2024-02-04T11:00:29.002562,3,9.86,1
445377,2024-02-06T11:04:40.058589,12,25.44,1
487845,2024-02-04T16:02:56.649231,17,22.03,3
490545,2024-02-02T03:48:03.407685,29,25.79,3
490618,2024-02-07T08:44:27.596569,26,96.62,4
525783,2024-02-01T14:55:01.115866,28,22.04,2
526881,2024-02-03T02:00:26.802053,18,59.28,3
531553,2024-02-02T15:27:39.711248,8,38.7,2
548533,2024-02-09T19:54:25.248920,19,57.99,2
548627,2024-02-03T03:25:22.567617,8,3.05,1
574826,2024-02-05T18:39:41.078079,9,44.54,2
577877,2024-02-06T01:37:37.516275,19,15.0,1
589895,2024-02-01T07:19:55.402266,9,35.73,3
595426,2024-02-09T20:01:03.974806,10,31.92,2
602553,2024-02-01T15:44:19.063951,9,53.37,4
630300,2024-02-03T12:33:51.196252,6,57.48,3
636070,2024-02-01T00:37:17.805312,26,49.63,3
653116,2024-02-04T06:06:32.884689,19,4.54,1
661607,2024-02-04T02:47:07.979750,26,36.45,3
662292,2024-02-08T04:25:20.661541,6,22.32,2
663955,2024-02-01T02:48:13.849380,15,21.18,2
664256,2024-02-04T07:21:40.103844,13,21.66,3
698258,2024-02-03T17:58:30.948633,25,13.26,2
710136,2024-02-03T10:01:56.108288,9,64.27,3
726226,2024-02-09T11:59:46.922777,23,6.66,1
729031,2024-02-02T00:21:32.034494,1,8.28,1
729637,2024-02-09T06:59:32.588168,25,26.7,2
739277,2024-02-04T23:09:41.683262,5,73.26,4
783632,2024-02-09T07:54:40.971465,4,78.47,4
799150,2024-02-02T16:32:41.325363,14,21.52,3
823098,2024-02-08T12:45:43.084708,29,33.29,2
854962,2024-02-05T23:11:24.921118,22,16.24,2
859180,2024-02-09T09:29:29.067162,4,39.74,3
884146,2024-02-02T02:07:58.105777,1,50.68,3
888842,2024-02-09T20:40:07.996584,14,44.34,2
892864,2024-02-04T18:15:50.273896,7,6.44,1
905629,2024-02-05T18:22:50.082765,13,117.97,5
910662,2024-02-02T05:01:49.051993,3,40.8,3
910887,2024-02-02T04:36:11.749322,20,39.42,3
911629,2024-02-05T23:13:53.735252,28,104.27,4
913680,2024-02-04T21:01:42.778191,26,51.73,5
922118,2024-02-08T10:32:48.486715,9,82.09,4
924772,2024-02-04T11:25:12.593893,6,18.09,2
939065,2024-02-05T03:52:39.639654,22,33.76,1
959347,2024-02-09T02:14:56.253465,7,5.01,1
959425,2024-02-10T08:56:44.695031,27,20.9,4
994081,2024-02-08T13:54:01.039516,22,80.2,3
997369,2024-02-08T18:07:48.359291,28,4.54,1
1000026,2024-02-02T13:30:45.602312,21,47.31,4
1025262,2024-02-01T03:13:07.712943,14,76.04,5
1031393,2024-02-10T11:38:43.470128,24,1.71,1
1040190,2024-02-10T12:35:55.881477,25,81.91,5
1040726,2024-02-02T08:40:03.921564,30,46.61,4
1055730,2024-02-01T19:59:56.504315,9,101.97,3
1067873,2024-02-09T08:00:46.251515,20,53.01,5
1101597,2024-02-09T19:41:42.545073,5,99.46,5
1101703,2024-02-06T00:14:05.022399,7,27.97,2
1120459,2024-02-04T04:05:50.104201,29,18.82,1
1122328,2024-02-01T00:49:48.777143,23,38.14,3
1131784,2024-02-01T00:39:08.556077,27,37.76,3
1131800,2024-02-03T20:51:53.238632,7,48.67,2
1162638,2024-02-10T20:46:26.317085,26,39.96,1
1167042,2024-02-10T03:22:23.645505,12,32.22,4
1171661,2024-02-01T14:58:18.688459,23,23.94,2
1202192,2024-02-02T13:21:00.288353,5,22.88,2
1208676,2024-02-04T03:14:43.924454,20,104.37,4
1215368,2024-02-08T00:00:17.022872,1,22.5,1
1217106,2024-02-10T00:32:43.713192,17,10.8,1
1227914,2024-02-07T07:34:14.633733,12,18.43,4
1238733,2024-02-02T09:07:09.782142,6,63.39,3
1239714,2024-02-08T04:40:44.635631,21,58.25,4
1264607,2024-02-08T23:30:57.509247,3,37.72,4
1270205,2024-02-03T09:11:21.443447,3,13.43,2
1278810,2024-02-09T15:17:04.750804,26,74.71,4
1288185,2024-02-02T07:24:41.082543,6,28.86,4
1296768,2024-02-05T20:40:31.131424,24,71.97,3
1298766,2024-02-01T01:54:10.989248,16,56.3,4
1302544,2024-02-04T05:31:53.539095,16,11.84,1
1356085,2024-02-02T18:56:27.079987,6,38.67,4
1364919,2024-02-05T10:42:24.105110,28,24.29,4
1378068,2024-02-03T16:34:37.077295,12,76.5,2
1386942,2024-02-01T04:11:43.082167,9,14.75,2
1408552,2024-02-02T12:58:42.492810,1,59.8,2
1426518,2024-02-04T03:45:31.214919,6,45.39,3
1428783,2024-02-04T20:23:08.322594,24,33.2,1
1430330,2024-02-09T09:02:52.126499,21,53.87,4
1441527,2024-02-03T19:03:26.860969,16,78.11,5
1460670,2024-02-09T11:54:44.633007,18,82.92,3
1482062,2024-02-03T22:26:26.466281,18,97.5,5
1485461,2024-02-10T19:16:43.401546,25,96.05,2
1486981,2024-02-02T05:34:28.269375,16,26.78,2
1487647,2024-02-09T16:31:17.304847,20,24.79,3
1495480,2024-02-04T05:03:02.092294,28,37.56,2
1496852,2024-02-02T04:36:44.225712,23,49.47,3
1504511,2024-02-02T10:11:49.665925,14,22.58,2
1504951,2024-02-08T05:01:16.128944,28,6.88,1
1515231,2024-02-02T10:17:31.174639,2,15.9,1
1517845,2024-02-03T05:22:38.371816,27,24.92,2
1537498,2024-02-04T19:09:08.500862,16,9.45,1
1542642,2024-02-04T20:24:56.405638,19,36.51,2
1567921,2024-02-05T16:53:38.210918,20,43.45,3
1568217,2024-02-09T03:28:52.471375,13,21.4,2
1574908,2024-02-05T00:10:15.504241,4,109.37,5
1584314,2024-02-01T18:01:39.443727,10,52.86,3
1587133,2024-02-09T09:28:31.076876,29,94.69,5
1589664,2024-02-09T04:41:40.886497,7,32.15,2
1598750,2024-02-01T16:07:34.211146,13,8.64,1
1599080,2024-02-09T22:39:04.535035,7,71.2,2
1601959,2024-02-08T23:07:19.493047,29,44.38,2
1611995,2024-02-03T23:54:50.526551,22,45.15,4
1614108,2024-02-03T12:56:32.454688,3,29.49,3
1621957,2024-02-02T02:30:37.488413,16,95.5,4
1623193,2024-02-04T16:25:05.582853,5,3.44,1
1635022,2024-02-04T06:34:50.904539,28,65.32,5
1635558,2024-02-01T01:33:02.040570,17,61.12,3
1637647,2024-02-02T19:46:15.701238,17,76.92,5
1650397,2024-02-01T22:26:13.132854,15,45.25,2
1707618,2024-02-06T00:35:11.348776,6,33.96,2
1713313,2024-02-08T14:47:20.588497,30,20.38,2
1713401,2024-02-03T07:57:57.839526,4,60.12,4
1714245,2024-02-03T07:46:08.585346,9,5.34,1
1721436,2024-02-03T19:33:48.935216,8,34.83,3
1730088,2024-02-02T03:08:47.500968,5,46.89,4
1740572,2024-02-01T12:09:54.642154,28,103.55,4
1752075,2024-02-10T10:23:05.601289,11,34.1,3
1754737,2024-02-03T11:54:22.424213,17,9.8,1
1767351,2024-02-08T06:29:14.226235,16,42.2,1
1780036,2024-02-01T03:17:28.214093,30,33.72,2
1780046,2024-02-01T13:51:33.256910,7,135.06,5
1781400,2024-02-09T03:10:01.614741,16,45.57,3
1796663,2024-02-03T04:34:31.259021,29,47.06,4
1796850,2024-02-08T09:48:35.024166,1,63.89,5
1797427,2024-02-08T22:28:45.989632,18,108.89,5
1797987,2024-02-08T14:17:58.709209,3,45.75,3
1821896,2024-02-10T14:30:11.712114,29,98.25,3
1830274,2024-02-08T19:37:04.499401,17,49.65,3
1839749,2024-02-08T07:53:36.410844,28,1.89,1
1847448,2024-02-09T06:52:05.252149,18,37.32,4
1850835,2024-02-04T03:56:14.717855,3,51.14,4
1875589,2024-02-01T04:31:37.866979,18,60.72,3
1878696,2024-02-04T18:57:48.061474,3,58.43,4
1883062,2024-02-04T03:40:23.513869,27,68.47,4
1890980,2024-02-04T01:47:13.015626,24,38.62,3
1893552,2024-02-09T20:57:08.831762,30,61.6,5
1898334,2024-02-10T22:11:28.085864,16,22.7,1
1917882,2024-02-09T02:55:06.199684,14,7.5,1
1946371,2024-02-02T07:51:10.387884,7,24.48,1
1947771,2024-02-03T02:51:04.986541,27,93.52,5
1992915,2024-02-08T06:24:05.677471,9,24.49,2
1998277,2024-02-08T20:09:55.926770,6,31.8,1
2000856,2024-02-04T04:03:52.927950,30,19.08,1
2036115,2024-02-06T00:00:47.994597,10,58.38,4
2051592,2024-02-01T13:41:38.269488,8,97.03,3
2081141,2024-02-03T00:31:25.064638,20,56.99,2
2086970,2024-02-05T04:56:20.744345,18,21.75,1
2089077,2024-02-08T15:27:29.782477,22,25.32,1
2092336,2024-02-01T13:49:45.609484,14,102.25,5
2100488,2024-02-01T15:57:31.901071,6,33.4,4
2118614,2024-02-08T18:44:15.525108,12,7.54,1
2143669,2024-02-04T00:53:40.018145,2,25.88,1
2169778,2024-02-07T20:42:03.248635,7,104.76,4
2190129,2024-02-04T15:47:34.922160,30,83.94,4
2206604,2024-02-08T20:24:14.160399,26,19.46,2
2206935,2024-02-08T13:51:35.664592,14,75.66,5
2220856,2024-02-04T17:19:20.849768,17,35.96,1
2224791,2024-02-03T09:04:03.920869,16,21.75,1
2235757,2024-02-04T04:32:08.231356,23,56.56,4
2237054,2024-02-06T23:28:39.676328,3,94.48,5
2273071,2024-02-10T19:21:53.733516,14,73.39,5
2286363,2024-02-01T18:05:15.693328,30,30.0,1
2289288,2024-02-09T06:29:48.095689,23,13.62,1
2327495,2024-02-10T01:40:00.480882,15,54.22,3
2329733,2024-02-01T10:02:28.731482,3,48.51,2
2345377,2024-02-10T10:11:12.369761,17,92.7,5
2349357,2024-02-02T11:23:08.054001,1,9.41,1
2353660,2024-02-04T13:32:26.347877,5,4.32,1
2363360,2024-02-02T04:14:54.435175,12,32.62,2
2364480,2024-02-04T04:52:56.753183,17,52.36,4
2372852,2024-02-08T11:15:31.396760,20,12.6,2
2383598,2024-02-09T10:36:22.884174,2,58.78,4
2383665,2024-02-10T06:19:25.628964,19,25.19,2
2398461,2024-02-02T20:27:12.130160,3,4.81,1
2405769,2024-02-01T01:30:50.924221,16,3.56,1
2421809,2024-02-04T06:01:38.767813,18,15.64,1
2429648,2024-02-06T10:20:04.993783,1,31.26,3
2439868,2024-02-05T17:06:06.490997,9,71.28,4
2444122,2024-02-08T20:13:28.283474,12,50.83,4
2553391,2024-02-08T10:06:10.256995,6,18.68,3
2580857,2024-02-02T20:07:35.586176,6,55.42,3
2592477,2024-02-01T00:49:31.219083,5,31.25,5
2611943,2024-02-03T02:17:45.515129,13,14.76,1
2633822,2024-02-04T08:32:26.882023,10,15.29,2
2655030,2024-02-02T15:54:46.396301,11,32.96,2
2678595,2024-02-01T17:00:56.168482,24,99.83,4
2679945,2024-02-10T11:00:55.481232,4,8.33,2
2694182,2024-02-02T10:20:05.094220,22,28.84,3
2699317,2024-02-10T21:00:32.017947,9,56.38,5
2711359,2024-02-01T03:07:42.670594,25,90.74,4
2713370,2024-02-04T11:26:14.123826,13,11.06,2
2718593,2024-02-04T19:58:24.360923,21,30.17,4
2730002,2024-02-03T08:55:13.558705,26,4.32,1
2733695,2024-02-01T01:48:08.335254,21,40.83,4
2734365,2024-02-07T19:41:04.221926,14,58.79,5
2744819,2024-02-04T14:46:54.234337,7,42.73,4
2749962,2024-02-09T11:47:37.624860,29,37.36,3
2753230,2024-02-01T19:14:10.093777,2,116.84,5
2783693,2024-02-06T12:34:16.892750,16,40.07,3
2784912,2024-02-10T10:52:25.929428,30,25.88,1
2831701,2024-02-04T06:21:32.519377,21,72.23,4
2832937,2024-02-06T08:06:32.318935,24,14.8,1
2873075,2024-02-10T18:30:20.097018,15,4.54,1
2905324,2024-02-01T20:22:16.227719,16,19.63,2
2908791,2024-02-01T05:25:11.526473,21,66.51,4
2929801,2024-02-08T11:21:47.556881,26,78.79,3
2945339,2024-02-04T05:43:44.887665,12,56.63,2
2955797,2024-02-02T00:14:00.811615,19,12.37,2
2963739,2024-02-09T18:48:45.256472,12,59.68,3
2977870,2024-02-01T07:17:19.565523,13,68.11,2
2981652,2024-02-08T13:14:50.499726,16,21.98,3
2982064,2024-02-01T02:45:30.180025,6,53.09,4
2990394,2024-02-08T09:02:58.409817,14,83.02,5
3004830,2024-02-01T09:20:42.159925,16,45.67,4
3012476,2024-02-08T19:25:46.989854,12,25.28,3
3018929,2024-02-10T13:42:19.805099,24,76.25,4
3030142,2024-02-04T03:36:28.100068,15,98.2,3
3047116,2024-02-02T23:39:29.438583,18,29.49,2
3090443,2024-02-10T10:09:09.702196,1,18.16,1
3140151,2024-02-10T10:05:17.780586,15,47.63,2
3144767,2024-02-10T13:33:21.319884,7,58.26,5
3149992,2024-02-04T15:46:46.810878,1,71.33,5
3151275,2024-02-05T02:57:43.053294,2,43.4,5
3155884,2024-02-09T08:28:23.260818,16,34.4,2
3166791,2024-02-04T13:58:41.000985,24,10.8,1
3169081,2024-02-01T18:30:36.485433,25,23.32,2
3177899,2024-02-08T16:52:00.737885,22,75.36,4
3186408,2024-02-10T06:07:49.162187,3,58.73,3
3218171,2024-02-02T02:45:29.671831,16,72.68,5
3233929,2024-02-07T23:10:12.429579,26,82.0,4
3244867,2024-02-10T04:19:44.427032,29,6.21,2
3245647,2024-02-04T19:54:08.248061,13,63.67,4
3249996,2024-02-09T16:10:02.397412,19,46.08,3
3256384,2024-02-03T20:42:34.118235,25,17.23,2
3267751,2024-02-04T01:36:19.080053,8,77.32,4
3289052,2024-02-05T13:43:02.904259,28,23.33,3
3290369,2024-02-01T18:37:33.996211,21,69.12,3
3290815,2024-02-07T23:15:42.735501,24,1.67,1
3292076,2024-02-04T23:48:03.115694,22,72.27,4
3295731,2024-02-08T21:56:22.502864,16,157.8,5
3300609,2024-02-01T06:11:03.917580,4,33.76,1
3305889,2024-02-01T02:09:59.276995,19,72.63,3
3310322,2024-02-03T07:03:14.157890,8,36.17,3
3311265,2024-02-06T03:16:38.015689,19,8.9,1
3320585,2024-02-09T06:31:23.750055,23,17.53,2
3322809,2024-02-04T19:15:49.026090,25,24.95,2
3333071,2024-02-04T01:56:32.122919,12,19.24,1
3335553,2024-02-07T12:57:10.525829,4,93.16,5
3336427,2024-02-02T18:28:45.661865,16,65.07,2
3341069,2024-02-09T01:49:20.400812,17,19.92,1
3358609,2024-02-07T19:00:55.902995,12,35.04,3
3373499,2024-02-01T04:37:32.318879,15,42.84,3
3384536,2024-02-09T03:52:37.733429,17,36.02,4
3388230,2024-02-10T12:07:15.859199,3,4.93,1
3409224,2024-02-03T20:51:20.150003,8,13.79,3
3414181,2024-02-02T23:56:44.826783,13,34.49,2
3461272,2024-02-01T05:17:05.595205,23,19.0,3
3461811,2024-02-02T14:07:20.371948,5,23.75,2
3463700,2024-02-08T12:16:15.035364,7,42.57,5
3475081,2024-02-04T03:44:02.371873,27,44.56,3
3478001,2024-02-05T02:51:19.768538,30,45.06,4
3481461,2024-02-04T10:20:24.756331,1,31.93,3
3485580,2024-02-08T03:39:07.934397,19,14.65,2
3504706,2024-02-09T05:25:38.070498,12,15.34,3
3525354,2024-02-05T14:57:10.485018,28,99.22,4
3527324,2024-02-01T03:49:20.125572,25,53.69,3
3529851,2024-02-05T19:20:11.454172,8,53.19,2
3543841,2024-02-08T01:40:38.213493,11,8.55,1
3547120,2024-02-08T23:27:09.560834,7,5.34,1
3563371,2024-02-01T03:59:54.858813,17,8.99,1
3572896,2024-02-10T12:07:50.750552,19,61.56,4
3588934,2024-02-06T10:09:23.493476,12,47.05,1
3616432,2024-02-05T23:41:58.443357,6,63.19,5
3689807,2024-02-04T21:06:46.624069,25,49.75,2
3691292,2024-02-01T19:11:56.885199,30,17.53,2
3729332,2024-02-04T11:35:59.125165,7,27.27,4
3732354,2024-02-06T16:13:39.525659,26,48.02,2
3734931,2024-02-06T01:25:30.817636,19,91.97,4
3758417,2024-02-10T07:04:02.941953,22,11.84,1
3758536,2024-02-02T22:19:26.628156,6,11.73,1
3766542,2024-02-03T20:36:53.965525,7,50.23,3
3767593,2024-02-03T22:19:50.040116,12,1.78,1
3774521,2024-02-01T01:57:10.779132,18,98.7,2
3777902,2024-02-01T09:11:57.906497,25,36.96,2
3828426,2024-02-01T09:36:56.544811,10,67.44,3
3838758,2024-02-10T05:42:03.053077,6,87.76,4
3842625,2024-02-09T01:08:12.947941,4,57.33,3
3876312,2024-02-06T07:27:44.612156,10,47.83,2
3886414,2024-02-04T16:54:31.603664,26,16.41,2
3899489,2024-02-09T05:35:51.528177,16,48.88,3
3902386,2024-02-01T16:31:58.509468,21,43.64,2
3913047,2024-02-02T16:55:14.086504,6,44.91,2
3927767,2024-02-01T13:20:17.131339,10,37.29,3
3944139,2024-02-10T15:37:04.615976,21,39.42,5
3946654,2024-02-09T06:02:21.115897,11,37.67,4
3951609,2024-02-09T17:14:54.285806,11,7.5,1
3970780,2024-02-08T20:59:09.595839,8,63.74,4
3979735,2024-02-02T17:15:32.937078,18,12.72,1
3980728,2024-02-08T20:15:09.878973,11,35.36,2
3981845,2024-02-04T15:02:14.746565,28,7.95,1
3991215,2024-02-04T21:57:43.771806,11,69.94,4
3999815,2024-02-04T00:42:12.948416,9,50.81,5
4003712,2024-02-03T12:48:57.185625,4,2.16,1
4022063,2024-02-08T12:22:00.339167,15,72.37,4
4048338,2024-02-02T17:58:03.771507,27,42.78,3
4050671,2024-02-01T16:04:54.604873,30,112.1,5
4096092,2024-02-10T13:34:39.290118,29,37.32,2
4097652,2024-02-02T19:22:46.594013,3,33.45,4
4111101,2024-02-08T23:46:04.247721,28,19.98,1
4114011,2024-02-08T20:10:25.023150,27,64.94,4
4116105,2024-02-08T01:06:52.081438,5,11.04,1
4120788,2024-02-02T03:50:15.737096,30,10.3,2
4130500,2024-02-07T15:52:15.537564,4,1.89,1
4137587,2024-02-04T15:50:38.763141,20,77.07,3
4155582,2024-02-09T16:30:50.198008,6,1.71,1
4167221,2024-02-02T16:58:42.221728,17,26.19,1
4170549,2024-02-04T18:17:01.932538,3,16.98,2
4179732,2024-02-02T12:05:55.703377,5,60.67,3
4181416,2024-02-10T16:07:43.400294,11,60.66,5
4187806,2024-02-04T22:32:58.208634,12,1.89,1
4211746,2024-02-01T16:18:00.654566,16,75.04,3
4216139,2024-02-06T21:24:03.169927,21,7.5,1
4216361,2024-02-02T12:05:57.119517,2,14.43,1
4218246,2024-02-10T12:45:06.744291,2,76.95,5
4238968,2024-02-09T23:22:21.048403,30,14.43,1
4257097,2024-02-01T13:33:45.377542,1,65.55,2
4258996,2024-02-01T17:09:19.263106,20,17.46,1
4268844,2024-02-09T22:51:30.517789,29,38.05,3
4303422,2024-02-02T04:41:16.536743,10,2.76,1
4314045,2024-02-02T21:33:53.927119,2,65.18,5
4316325,2024-02-06T02:48:13.296989,11,59.27,4
4320524,2024-02-07T07:28:59.716835,1,9.45,1
4337087,2024-02-08T11:11:06.359275,27,9.08,1
4353521,2024-02-05T09:53:13.176391,5,36.13,2
4355982,2024-02-04T20:44:33.948860,15,78.91,5
4378182,2024-02-02T02:47:49.077703,26,70.14,5
4380157,2024-02-08T18:02:19.365153,26,9.6,1
4381498,2024-02-01T01:28:43.977540,2,26.12,3
4406605,2024-02-08T16:31:31.775756,6,61.46,3
4413141,2024-02-05T09:41:28.102614,23,90.3,5
4426054,2024-02-04T23:51:58.021055,22,33.31,4
4426599,2024-02-01T11:20:01.205446,24,40.51,4
4428081,2024-02-04T14:43:39.305650,3,26.03,3
4462613,2024-02-05T11:05:18.921243,11,17.46,2
4484851,2024-02-04T14:09:01.335721,23,57.74,4
4496403,2024-02-09T09:02:56.687516,24,22.46,2
4507915,2024-02-09T19:07:53.430647,12,33.14,3
4509706,2024-02-01T19:38:43.149835,3,58.48,5
4528399,2024-02-02T04:45:12.065326,7,52.31,3
4552694,2024-02-01T14:49:12.127531,3,12.74,2
4552878,2024-02-05T00:38:54.261024,12,19.6,1
4555774,2024-02-02T08:49:09.833820,25,29.82,2
4577773,2024-02-01T13:45:12.133567,24,67.37,4
4578092,2024-02-01T18:19:15.715729,5,50.27,3
4579168,2024-02-02T05:47:39.545483,30,8.99,1
4581255,2024-02-10T15:08:14.553119,14,66.56,2
4592629,2024-02-09T00:19:46.230473,26,21.89,3
4624803,2024-02-08T19:03:50.986266,6,23.88,1
4646293,2024-02-04T00:46:43.901304,28,33.54,3
4656211,2024-02-04T20:57:16.964862,23,72.39,4
4678303,2024-02-09T11:50:30.354944,4,66.41,5
4684766,2024-02-07T15:02:03.921990,3,64.22,3
4710563,2024-02-02T17:20:51.331394,3,29.97,1
4729320,2024-02-02T08:30:08.409032,21,124.27,5
4741946,2024-02-09T07:37:26.212987,29,39.0,1
4751866,2024-02-06T01:41:39.374375,17,19.92,1
4756050,2024-02-03T00:04:42.136469,2,58.2,5
4772899,2024-02-10T15:42:34.482424,8,29.19,3
4776600,2024-02-09T16:23:09.569082,18,22.94,2
4812373,2024-02-03T00:23:04.170502,13,90.08,5
4828981,2024-02-09T16:56:54.323254,14,136.84,4
4829399,2024-02-08T02:19:07.002936,29,37.55,1
4838921,2024-02-01T09:40:30.970460,2,47.15,2
4842267,2024-02-03T06:15:50.552366,12,50.63,4
4849739,2024-02-05T23:28:56.003346,16,69.32,4
4862116,2024-02-09T17:21:58.850664,1,96.08,4
4869540,2024-02-08T01:19:47.947536,11,21.48,2
4896636,2024-02-08T19:16:13.839317,25,11.99,2
4901078,2024-02-08T04:09:40.692714,5,75.29,3
4907052,2024-02-07T19:13:04.776723,21,41.37,3
4910303,2024-02-03T14:57:47.161507,27,88.84,4
4915486,2024-02-09T09:24:02.453261,30,4.32,1
